"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"Rank1"
"New.ReferenceOTU2385"	4.02928723723991	2.092616946053	0.505706569574139	4.13800625096727	3.50336828925469e-05	0.00103536324012573	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Tenacibaculum"	NA	NA
"New.ReferenceOTU2382"	71.4106801372071	1.65391090324997	0.521606548372667	3.1708016481195	0.0015201890677185	0.014736773648468	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	NA	NA
"New.ReferenceOTU4469"	55.2070458570998	-1.79966949092493	0.639535047209303	-2.81402793916929	0.00489249759586107	0.0314359994987845	"Bacteria"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Flammeovirgaceae"	"Reichenbachiella"	NA	NA
"New.ReferenceOTU2419"	122.51934689009	1.58367756783911	0.460144787133966	3.44169403222651	0.000578083714287847	0.00719728788005044	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Oceanospirillaceae"	NA	NA	NA
"New.ReferenceOTU4862"	5.1793896989494	-1.18470952631884	0.337415047368635	-3.51113424121988	0.000446199014299328	0.00592128791893987	"Bacteria"	"Spirochaetes"	"Spirochaetes"	"Spirochaetales"	"Spirochaetaceae"	NA	NA	NA
"New.ReferenceOTU4162"	5.05864544835046	-0.59998232175314	0.201387969259749	-2.97923616767438	0.00288967961776719	0.0219843248729533	"Bacteria"	"Spirochaetes"	"Spirochaetes"	"Spirochaetales"	"Spirochaetaceae"	NA	NA	NA
"New.ReferenceOTU4578"	16.0364966987931	1.50209136488163	0.477326577985722	3.14688398710235	0.00165020423059817	0.0150372542810687	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Bizionia"	NA	NA
"New.ReferenceOTU4812"	39.688263939593	-1.18625325863492	0.332783449954123	-3.56464018507668	0.000364355676059052	0.00552283635331942	NA	NA	NA	NA	NA	NA	NA	"Unassigned"
"New.ReferenceOTU2079"	48.002349458516	-1.17873790779844	0.320225303274456	-3.68096429527987	0.000232353543772091	0.00409649399998186	NA	NA	NA	NA	NA	NA	NA	"Unassigned"
"New.ReferenceOTU4539"	16.4629412125824	-1.55243357485085	0.501794604431434	-3.09376298816496	0.00197635303681268	0.0163553297230111	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	NA	NA	NA	NA	NA
"New.ReferenceOTU2730"	3.92323436965613	-1.01138944725157	0.38781859324138	-2.60789313580454	0.00911013904973456	0.0499210997928022	NA	NA	NA	NA	NA	NA	NA	"Unassigned"
"New.ReferenceOTU4989"	2.68551960518094	2.03803944188744	0.570508056548021	3.57232368324302	0.00035382770035701	0.00552283635331942	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Polaribacter"	NA	NA
"New.ReferenceOTU3403"	22.7505666145889	2.45903084778459	0.498508409623584	4.93277706115604	8.10686670234788e-07	7.30518766178237e-05	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Colwelliaceae"	NA	NA	NA
"New.ReferenceOTU907"	41.6616310514808	2.21529889881659	0.511756564578765	4.3288138387439	1.49914585925653e-05	0.00064002257748535	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	NA	NA	NA	NA
"New.ReferenceOTU3571"	19143.7254422816	-0.788544583459992	0.295269950888842	-2.6705886633105	0.0075718371492028	0.0451198573418253	NA	NA	NA	NA	NA	NA	NA	"Unassigned"
"New.ReferenceOTU1715"	30.5828679610043	-1.17378397290738	0.338416740269265	-3.46845718085176	0.000523455937590838	0.00673845659343127	NA	NA	NA	NA	NA	NA	NA	"Unassigned"
"New.ReferenceOTU325"	561.112194700479	-1.63116348577188	0.463089535523504	-3.52235013025701	0.00042773881280058	0.00589573238943422	NA	NA	NA	NA	NA	NA	NA	"Unassigned"
"New.ReferenceOTU4268"	3.82745053664211	2.60893512275564	0.612882464062821	4.2568278189278	2.07347918443734e-05	0.000731126790686383	"Bacteria"	"GN02"	"BD1-5"	NA	NA	NA	NA	NA
"New.ReferenceOTU5034"	24.6427760083518	2.22475635611625	0.55868995233823	3.9820948037551	6.83105197789898e-05	0.00162940681002237	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Colwelliaceae"	"Thalassomonas"	NA	NA
